Volatility 3 Framework 1.2.1

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xd30f66490040	115	-	N/A	False	2021-10-17 11:56:52.000000 	N/A	Disabled
92	4	Registry	0xd30f664e9080	4	-	N/A	False	2021-10-17 11:56:45.000000 	N/A	Disabled
280	4	smss.exe	0xd30f67328040	3	-	N/A	False	2021-10-17 11:56:52.000000 	N/A	Disabled
408	400	csrss.exe	0xd30f676d5140	11	-	0	False	2021-10-17 11:56:52.000000 	N/A	Disabled
492	400	wininit.exe	0xd30f6a228080	7	-	0	False	2021-10-17 11:56:53.000000 	N/A	Disabled
500	480	csrss.exe	0xd30f6a22d140	14	-	1	False	2021-10-17 11:56:53.000000 	N/A	Disabled
588	480	winlogon.exe	0xd30f6a275080	8	-	1	False	2021-10-17 11:56:53.000000 	N/A	Disabled
636	492	services.exe	0xd30f6a29a0c0	9	-	0	False	2021-10-17 11:56:53.000000 	N/A	Disabled
652	492	lsass.exe	0xd30f6a2a8080	10	-	0	False	2021-10-17 11:56:53.000000 	N/A	Disabled
756	492	fontdrvhost.ex	0xd30f6a341100	5	-	0	False	2021-10-17 11:56:53.000000 	N/A	Disabled
764	588	fontdrvhost.ex	0xd30f6a343100	5	-	1	False	2021-10-17 11:56:53.000000 	N/A	Disabled
772	636	svchost.exe	0xd30f6a30f2c0	21	-	0	False	2021-10-17 11:56:53.000000 	N/A	Disabled
872	636	svchost.exe	0xd30f6a3a1280	15	-	0	False	2021-10-17 11:56:53.000000 	N/A	Disabled
952	588	dwm.exe	0xd30f6aa4e080	23	-	1	False	2021-10-17 11:56:54.000000 	N/A	Disabled
308	636	svchost.exe	0xd30f6aa94200	73	-	0	False	2021-10-17 11:56:54.000000 	N/A	Disabled
712	636	svchost.exe	0xd30f6aaaa2c0	20	-	0	False	2021-10-17 11:56:54.000000 	N/A	Disabled
376	636	svchost.exe	0xd30f6aaad080	33	-	0	False	2021-10-17 11:56:54.000000 	N/A	Disabled
668	636	svchost.exe	0xd30f6aaaf080	9	-	0	False	2021-10-17 11:56:54.000000 	N/A	Disabled
1036	636	svchost.exe	0xd30f6aade280	20	-	0	False	2021-10-17 11:56:54.000000 	N/A	Disabled
1144	636	svchost.exe	0xd30f6ab27240	14	-	0	False	2021-10-17 11:56:54.000000 	N/A	Disabled
1388	636	svchost.exe	0xd30f6ac32280	23	-	0	False	2021-10-17 11:56:54.000000 	N/A	Disabled
1428	636	svchost.exe	0xd30f6ac6e240	7	-	0	False	2021-10-17 11:56:54.000000 	N/A	Disabled
1492	4	MemCompression	0xd30f6ac69080	14	-	N/A	False	2021-10-17 11:56:54.000000 	N/A	Disabled
1568	636	svchost.exe	0xd30f66499080	14	-	0	False	2021-10-17 11:56:54.000000 	N/A	Disabled
1620	636	svchost.exe	0xd30f6acc82c0	5	-	0	False	2021-10-17 11:56:55.000000 	N/A	Disabled
1628	636	svchost.exe	0xd30f66586080	22	-	0	False	2021-10-17 11:56:55.000000 	N/A	Disabled
1748	636	svchost.exe	0xd30f6652d080	15	-	0	False	2021-10-17 11:56:55.000000 	N/A	Disabled
1792	636	spoolsv.exe	0xd30f6ad0b0c0	14	-	0	False	2021-10-17 11:56:55.000000 	N/A	Disabled
1844	636	svchost.exe	0xd30f6ad312c0	20	-	0	False	2021-10-17 11:56:55.000000 	N/A	Disabled
384	636	svchost.exe	0xd30f6aee1200	30	-	0	False	2021-10-17 11:56:55.000000 	N/A	Disabled
2144	636	vmtoolsd.exe	0xd30f6afa6240	12	-	0	False	2021-10-17 11:56:56.000000 	N/A	Disabled
2152	636	VGAuthService.	0xd30f6afa82c0	5	-	0	False	2021-10-17 11:56:56.000000 	N/A	Disabled
2228	636	svchost.exe	0xd30f6af29280	19	-	0	False	2021-10-17 11:56:56.000000 	N/A	Disabled
